city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,is_blackspot,cat_risk_score,cat_predicted,morth_predicted,mismatch_category,lat,lon
Delhi,"[1454403278, 1454403279]",151.4,secondary,1,40,1,18,0,1,0,1,0,723.7,30.2,0.0,11320,97.5,1,0.9972,1,1,Confirmed Black Spot,28.62309,77.1354
Delhi,1287340894,64.5,residential,1,40,0,28,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.56091,77.04732
Delhi,"[423529643, 423529671]",51.5,residential,1,40,0,28,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.59661,77.08596
Delhi,422405356,21.8,residential,1,40,0,35,0,0,1,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70992,77.2232
Delhi,421731250,99.0,residential,1,40,0,19,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49021,77.22926
Delhi,423590825,86.6,residential,1,40,0,27,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73786,77.14413
Delhi,839666576,28.9,residential,1,40,0,27,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67252,77.30233
Delhi,1076749552,66.6,residential,1,40,0,21,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64009,77.21643
Delhi,1082064668,56.4,living_street,1,40,0,66,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64124,77.03589
Delhi,1070602389,26.2,residential,1,40,0,61,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.75262,77.19144
Delhi,"[686646136, 686646137]",67.5,residential,1,40,0,14,0,0,0,4,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.57043,77.25511
Delhi,690266859,59.3,residential,1,40,0,63,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67948,77.27928
Delhi,623832915,66.7,residential,1,40,0,43,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60284,77.07072
Delhi,1071933156,28.6,residential,1,40,0,41,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73291,77.26718
Delhi,995102382,140.9,residential,1,40,0,13,1,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60869,77.31895
Delhi,171438665,23.4,residential,1,40,0,45,2,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73492,77.09546
Delhi,772401790,62.3,residential,1,40,0,25,1,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62191,77.1042
Delhi,1079699347,155.6,residential,1,40,0,18,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.82004,76.96915
Delhi,1464359199,35.8,residential,1,40,0,22,2,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49495,77.31789
Delhi,1075713717,100.9,residential,1,40,0,70,2,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.66163,77.27562
Delhi,1065901771,28.6,residential,1,40,0,60,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.6457,77.10494
Delhi,422633867,157.7,residential,1,40,0,31,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70181,76.98726
Delhi,1247211851,22.8,residential,1,40,0,55,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.50013,77.28562
Delhi,200422404,44.1,residential,1,40,0,14,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62557,76.94148
Delhi,1081058001,74.8,residential,1,40,0,33,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.7506,77.06434
Delhi,1070602381,31.6,residential,1,40,0,70,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.75236,77.19101
Delhi,1212754795,53.4,residential,1,40,0,13,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63687,76.97887
Delhi,"[1092113816, 423391738]",275.9,residential,1,40,0,33,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62748,77.0258
Delhi,"[691453898, 691453899]",89.6,residential,1,40,0,26,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67224,77.29524
Delhi,1072265821,10.9,residential,1,40,0,44,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.52883,77.31554
Delhi,568584696,144.8,residential,1,40,0,24,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67104,77.29096
Delhi,1120517341,23.7,living_street,1,40,0,89,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64565,77.09402
Delhi,1078391163,21.6,residential,1,40,0,33,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.798,77.02882
Delhi,"[774977580, 422171863]",2651.5,tertiary,2,50,0,0,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.81382,77.0371
Delhi,213170483,81.7,residential,1,40,0,45,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70278,77.02917
Delhi,422794016,94.3,residential,1,40,0,23,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60819,76.95884
Delhi,1212722926,40.4,residential,1,40,0,14,0,0,0,3,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.51115,77.17772
Delhi,423281010,17.7,residential,1,40,0,73,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60701,76.99313
Delhi,"[1088137702, 423534030]",170.6,residential,1,40,0,42,0,0,0,2,1,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65329,77.15864
Delhi,1079752128,69.5,residential,1,40,0,25,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68397,76.97231
Delhi,1079377275,421.6,residential,1,40,1,10,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.55148,77.0266
Delhi,707631414,70.1,residential,1,40,0,40,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69404,77.19701
Delhi,205080617,1.8,residential,1,40,0,37,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.5807,77.24171
Delhi,1070825449,23.0,residential,1,40,0,57,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.76483,77.19345
Delhi,1072170087,66.4,residential,1,40,0,15,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.46396,77.15483
Delhi,1040529995,224.1,tertiary,1,40,0,47,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.61085,77.08524
Delhi,1081783457,62.3,residential,1,40,0,80,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63514,77.08948
Delhi,422342973,85.6,residential,1,40,0,34,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70468,77.28099
Delhi,1499142546,40.2,primary,3,40,1,11,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,0.9924,1,1,Confirmed Black Spot,28.6734,77.13995
Delhi,78592707,41.8,residential,1,40,0,24,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72501,77.13261
Delhi,423781555,99.4,residential,1,40,0,80,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65371,77.09432
Delhi,687602473,86.6,residential,1,40,0,51,1,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68754,77.2945
Delhi,"[168322224, 1203029363]",64.3,residential,1,40,0,12,1,2,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.56157,77.25407
Delhi,1072254781,53.3,residential,1,40,0,61,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74458,77.17926
Delhi,1079381523,57.9,residential,1,40,0,11,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.6499,76.95041
Delhi,422633900,68.5,residential,1,40,0,11,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.715,76.95627
Delhi,1185214027,80.2,living_street,1,40,0,30,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.54791,77.13179
Delhi,171640325,26.9,residential,1,40,0,70,3,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68997,77.09309
Delhi,1077640743,18.1,residential,1,40,0,28,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.66004,77.19931
Delhi,1071420356,68.8,residential,1,40,0,42,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69662,77.28354
Delhi,"[1136637482, 77967795]",51.3,residential,1,40,0,31,0,3,1,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69423,77.17207
Delhi,414817612,25.6,residential,1,40,0,30,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.47284,77.12545
Delhi,1122270325,59.2,residential,1,40,0,45,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69437,77.27348
Delhi,682844000,16.1,residential,1,40,0,29,1,1,0,4,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.56278,77.18842
Delhi,1039518915,108.1,residential,1,40,0,34,0,1,1,3,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62182,77.06924
Delhi,"[687042832, 687044917]",114.5,living_street,1,40,0,58,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68638,77.29522
Delhi,1238300216,6.0,residential,1,40,0,43,0,4,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62229,77.03915
Delhi,423409427,20.0,residential,1,40,0,75,0,1,0,2,1,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60855,77.09456
Delhi,408786151,36.2,secondary,1,40,0,8,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0094,0,1,Safe (Both Agree),28.73904,77.15531
Delhi,423400712,50.4,residential,1,40,0,58,0,1,2,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.6202,77.03528
Delhi,423552803,18.4,residential,1,40,0,84,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62657,77.06051
Delhi,422413856,16.2,residential,1,40,0,32,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.85335,77.12866
Delhi,611047263,10.7,residential,1,40,1,13,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.55409,77.21313
Delhi,243350961,9.5,tertiary,1,40,0,34,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65254,77.10938
Delhi,1136717247,6.4,residential,1,40,0,29,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.71027,77.20565
Delhi,1118629648,141.7,primary,3,40,1,6,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,0.9862,1,1,Confirmed Black Spot,28.80476,77.10988
Delhi,213170433,33.7,residential,1,40,0,61,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69879,77.04196
Delhi,1121974416,16.4,residential,1,40,0,106,0,1,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63955,77.17953
Delhi,424016920,34.5,residential,1,40,0,22,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67145,77.14649
Delhi,"[1054787864, 1212761309]",97.5,residential,1,40,0,52,1,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65219,77.13362
Delhi,1074779566,33.0,residential,1,40,0,31,2,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.50115,77.28384
Delhi,706623230,49.6,residential,1,40,0,57,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63778,77.28277
Delhi,1072214469,44.5,residential,1,40,0,68,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74761,77.18614
Delhi,213153068,48.4,residential,1,40,0,32,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70353,77.29751
Delhi,1221972404,24.1,residential,1,40,0,45,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72968,77.21272
Delhi,690876550,29.7,residential,1,40,0,43,1,1,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68993,77.28043
Delhi,1050950431,80.8,residential,1,40,0,70,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69411,77.05055
Delhi,1190518833,10.3,residential,1,40,0,15,0,4,1,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.59852,77.04107
Delhi,"[1076469800, 422177583, 1076469799]",139.9,residential,1,40,0,35,0,0,0,3,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70294,77.25683
Delhi,170767287,55.1,primary,1,60,1,18,0,1,0,2,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.58164,77.26576
Delhi,1255155773,234.4,primary,1,40,1,13,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.655,77.03911
Delhi,213170383,86.6,residential,1,40,0,63,0,2,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70426,77.04155
Delhi,1122542612,17.7,residential,1,40,0,54,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68322,77.27334
Delhi,422345814,45.8,residential,1,40,0,19,0,0,0,0,1,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.79685,77.13656
Delhi,423552692,71.7,residential,1,40,0,47,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62839,77.06039
Delhi,213128479,69.4,residential,1,40,0,47,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.79516,77.02849
Delhi,290797356,77.2,residential,1,40,0,16,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.61729,76.99333
Delhi,450177451,16.4,unclassified,1,40,0,22,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.53421,77.31699
Delhi,718297217,147.1,residential,1,40,0,12,2,0,1,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60054,77.18648
Delhi,1123303571,23.5,residential,1,40,0,111,0,1,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68972,77.25608
Delhi,1076507735,171.8,tertiary,1,40,1,8,4,2,1,0,0,723.7,30.2,0.0,11320,97.5,0,0.0145,0,0,Safe (Both Agree),28.55588,77.24374
Delhi,369796857,47.7,residential,1,40,0,43,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70752,77.0823
Delhi,1075083076,100.5,residential,1,40,0,25,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.71377,77.28387
Delhi,1243637979,79.5,residential,1,40,0,19,1,1,2,4,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60495,77.22737
Delhi,171496035,122.1,residential,1,40,0,38,1,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.6993,77.10477
Delhi,171687573,57.0,residential,1,40,0,66,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.71539,77.08002
Delhi,"[1427682180, 1427682197, 1427682181]",612.0,trunk,3,100,1,0,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,0.999,1,0,Government Blind Spot,28.80884,77.12762
Delhi,1081324660,50.7,residential,1,40,0,42,4,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60536,76.98344
Delhi,582367349,173.5,trunk,3,40,1,4,1,5,0,3,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,0,Government Blind Spot,28.56879,77.20823
Delhi,"[682652795, 1050984573]",102.9,residential,1,40,0,42,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73017,77.06893
Delhi,1255489326,20.5,residential,1,40,0,26,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.71331,77.0369
Delhi,213119442,106.2,residential,1,40,0,26,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70822,77.30857
Delhi,59203957,304.6,tertiary,1,40,1,21,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.55865,77.0446
Delhi,421936075,73.0,residential,1,40,0,67,0,1,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.51647,77.23531
Delhi,1040104906,118.6,residential,1,40,0,60,3,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63328,77.04091
Delhi,682635548,30.1,residential,1,40,0,34,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.80647,76.99981
Delhi,289766561,40.3,residential,1,40,1,7,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63683,77.22656
Delhi,"[1122022269, 423616550]",39.7,residential,1,40,0,50,1,0,0,3,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.53305,77.2293
Delhi,581209090,136.6,residential,1,40,0,26,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65662,77.27251
Delhi,212738917,71.9,residential,1,40,0,23,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.71225,77.0379
Delhi,297014800,38.8,residential,1,40,0,30,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.839,77.11417
Delhi,1079911565,57.1,residential,1,40,0,9,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67655,76.97691
Delhi,364876222,40.7,tertiary,1,40,1,45,0,1,1,3,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.7016,77.16401
Delhi,423627842,62.9,residential,1,40,0,66,0,1,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.61763,77.07332
Delhi,1121973607,48.9,residential,1,40,0,15,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.52566,77.22138
Delhi,1146185756,77.6,residential,1,40,0,11,0,0,0,6,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.56441,77.23068
Delhi,1070602371,148.4,residential,1,40,0,55,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.75302,77.19136
Delhi,421943364,56.7,residential,1,40,0,35,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49068,77.32502
Delhi,423400496,32.7,residential,1,40,0,28,0,2,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67639,77.06372
Delhi,422132708,50.4,residential,1,40,0,46,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72445,77.28641
Delhi,423109069,67.2,residential,1,40,0,30,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.57637,77.01968
Delhi,28616606,266.3,motorway,4,40,1,3,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,0.9997,1,0,Government Blind Spot,28.51624,77.09472
Delhi,423593210,4.6,residential,1,40,0,32,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60297,77.08603
Delhi,423300486,80.3,residential,1,40,0,26,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65847,77.049
Delhi,171438559,24.7,residential,1,40,0,18,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73753,77.09478
Delhi,44351922,148.4,residential,1,40,0,15,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.58676,77.1861
Delhi,1062054743,224.0,residential,1,40,0,11,2,3,0,2,2,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60532,77.0518
Delhi,25524703,227.5,trunk,3,40,1,16,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.53833,77.09113
Delhi,1071587013,57.4,residential,1,40,0,55,2,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.71401,77.17622
Delhi,555517575,65.5,primary,1,60,1,9,1,0,0,6,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.56922,77.16416
Delhi,291151607,27.1,tertiary,1,40,1,4,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68058,77.21496
Delhi,584849994,62.2,living_street,1,40,0,31,1,4,1,5,0,723.7,30.2,0.0,11320,97.5,0,0.0243,0,0,Safe (Both Agree),28.53441,77.20918
Delhi,211612361,22.0,residential,1,40,0,25,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.77157,76.99607
Delhi,1078972766,339.0,residential,1,40,0,2,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72902,77.01142
Delhi,1306359253,26.5,residential,1,40,0,45,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60227,77.10492
Delhi,"[212410522, 1080195629]",41.9,residential,1,40,0,27,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73467,77.03506
Delhi,1122279084,43.0,residential,1,40,0,70,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68922,77.26514
Delhi,661949676,70.8,residential,1,40,0,54,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.76378,77.17339
Delhi,"[570427355, 722082933]",39.4,secondary,1,40,1,13,0,0,2,5,0,723.7,30.2,0.0,11320,97.5,1,0.9014,1,1,Confirmed Black Spot,28.61664,77.21231
Delhi,1306525258,7.0,residential,1,40,0,28,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.6057,76.97233
Delhi,259081351,8.4,tertiary,1,40,1,27,2,1,1,4,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64894,77.1994
Delhi,191221841,36.3,residential,1,40,0,61,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49238,77.31247
Delhi,"[1291690161, 1291690810]",685.4,secondary,1,40,1,0,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0003,0,0,Safe (Both Agree),28.72294,77.00449
Delhi,297429390,36.6,residential,1,40,0,50,0,3,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74912,77.14099
Delhi,1058047510,5.5,primary,1,40,1,20,1,2,1,0,1,723.7,30.2,0.0,11320,97.5,0,0.001,0,1,Safe (Both Agree),28.72606,77.12704
Delhi,212410557,109.6,residential,1,40,0,29,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72664,77.0294
Delhi,"[1063610514, 78471390]",67.2,residential,1,40,0,44,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72575,77.14838
Delhi,1055607441,53.3,residential,1,40,0,37,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63398,77.10452
Delhi,78785336,359.1,primary,1,40,1,4,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,0.9742,1,0,Government Blind Spot,28.72879,77.18287
Delhi,"[202973001, 1275584683]",149.6,secondary,1,40,1,9,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,1,0.7743,1,1,Confirmed Black Spot,28.61356,76.99955
Delhi,422397881,71.4,residential,1,40,0,64,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.81004,77.09525
Delhi,"[1275955304, 1275955306, 1118986182]",434.9,trunk,1,40,1,3,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,0.9998,1,0,Government Blind Spot,28.54464,77.0414
Delhi,164702879,70.8,residential,1,40,0,28,2,3,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.5641,77.24546
